Goblin,[0, 11],18,S,P,P,H,S,S,P,P,P,P,A,S,H,A,S,S,P,S
Goblin,[15, 0],13,A,P,S,P,S,A,S,H,S,H,S,A,S
Goblin,[8, 0],29,P,A,A,S,H,A,S,P,S,A,P,P,P,P,P,A,S,A,S,H,H,P,P,A,A,P,A,H,S
Goblin,[12, 0],25,P,P,P,A,A,A,A,S,P,H,P,A,S,H,P,A,P,P,H,S,S,P,S,A,S
Goblin,[9, 0],25,A,S,P,H,P,H,P,P,P,P,P,S,H,P,P,A,S,P,H,A,A,A,P,A,S
Troll,[10, -1],7,S,A,S,A,S,A,A
Troll,[1, -1],27,S,A,A,H,S,A,H,A,S,A,S,H,P,A,P,S,H,A,P,A,P,A,P,A,P,A,S
Troll,[10, 0],9,S,A,S,A,A,H,A,A,A
Troll,[-3, 8],20,S,A,A,A,P,H,H,A,S,H,S,A,P,A,P,A,S,A,P,S
Troll,[10, 0],17,S,A,A,A,A,H,P,H,P,A,S,A,P,A,A,S,A
Orc,[10, -4],13,A,A,A,A,P,A,S,H,S,H,A,A,A
Orc,[10, 0],15,A,A,P,A,S,H,S,A,A,H,A,A,P,A,A
Orc,[5, -1],19,A,A,P,A,S,A,A,H,P,A,S,A,A,H,P,A,A,A,A
Orc,[15, -2],13,A,A,P,A,P,A,S,H,A,H,S,A,A
Orc,[5, -2],15,A,A,A,A,P,A,P,H,S,H,A,A,A,A,A
Elf,[22, -2],17,S,H,S,H,S,P,S,P,P,P,S,P,A,P,S,P,S
Elf,[-4, 1],52,S,H,S,H,S,P,S,P,P,P,A,P,A,A,H,A,P,A,H,P,S,P,A,A,S,A,P,A,P,A,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A
Elf,[15, -1],29,S,A,A,A,P,A,P,A,P,H,P,A,P,A,P,H,P,A,P,P,P,P,P,P,S,P,P,P,S
Elf,[25, -3],17,S,H,P,H,S,P,S,P,H,P,S,P,S,P,S,P,S
Elf,[13, -6],49,P,A,P,H,P,A,P,H,P,A,P,P,P,P,P,P,S,P,P,P,S,P,P,P,S,P,S,P,S,P,S,P,A,P,A,P,A,P,P,P,S,P,P,P,P,P,A,P,S
Magician,[0, 8],24,A,A,S,A,P,A,A,H,S,H,A,P,A,P,H,P,S,P,A,P,A,P,A,S
Magician,[10, -6],47,A,A,S,A,P,A,S,H,A,H,A,P,P,P,P,P,A,P,H,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,S,P,A,P,S
Magician,[8, -1],33,S,A,A,A,P,A,P,H,H,A,A,H,S,A,H,A,S,P,S,P,S,P,S,P,S,P,S,P,S,P,S,P,S
Magician,[17, -2],15,P,A,A,A,S,H,P,A,A,H,A,P,A,P,S
Magician,[15, -6],37,A,A,S,A,P,A,A,H,A,H,S,P,S,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,S,P,P,P,P,P,S,P,S
Goblin,[-3, 3],18,A,H,A,S,A,H,A,A,A,P,A,S,H,S,S,A,A,A
Goblin,[-4, 16],16,A,S,A,P,A,S,P,H,P,H,S,A,P,P,P,S
Goblin,[-6, 10],18,S,A,S,H,A,S,A,S,H,A,H,P,A,A,A,S,P,S
Goblin,[-6, 9],28,S,P,P,S,S,H,S,P,P,H,S,A,S,S,P,S,S,A,P,P,P,P,P,A,P,S,P,S
Goblin,[25, -3],15,S,P,P,H,P,H,S,S,S,S,S,P,S,P,S
Troll,[10, 0],9,A,A,A,A,A,A,S,H,S
Troll,[10, 0],11,P,H,P,A,S,A,A,A,A,A,A
Troll,[10, 0],9,P,A,S,A,A,A,A,A,A
Troll,[15, 0],13,P,H,P,H,P,A,S,A,A,A,A,S,A
Troll,[5, -2],13,P,H,P,A,S,A,S,A,S,A,A,A,A
Orc,[10, -2],13,A,A,A,A,A,H,A,H,A,A,P,A,S
Orc,[10, 0],13,A,A,A,A,A,H,P,A,A,H,A,A,A
Orc,[15, -1],15,P,A,A,A,A,H,P,A,P,A,A,H,A,A,A
Orc,[15, -1],15,A,A,P,A,A,H,P,A,A,H,P,A,A,A,A
Orc,[15, 0],13,P,A,A,A,A,H,A,H,P,A,A,A,S
Elf,[25, -5],21,S,H,A,H,A,P,P,P,P,P,S,P,A,P,P,P,H,P,S,P,S
Elf,[25, -3],25,A,H,A,H,A,P,S,P,S,P,A,P,P,P,H,P,S,P,S,P,S,P,P,P,S
Elf,[8, 0],29,S,A,H,A,P,A,P,A,P,A,P,H,S,A,A,A,H,A,P,A,P,A,P,A,P,H,P,A,S
Elf,[16, -3],53,A,H,A,H,A,P,P,P,S,P,S,P,A,P,S,P,P,P,A,P,S,P,H,P,H,P,S,P,A,P,P,P,P,P,P,P,P,P,P,P,S,P,S,P,S,P,A,P,A,P,P,P,S
Elf,[25, -3],15,A,H,A,H,A,P,P,P,S,P,S,P,S,P,S
Magician,[17, 0],29,A,A,S,A,S,H,H,H,S,P,H,P,A,P,P,P,A,P,P,P,S,P,P,P,P,P,S,P,S
Magician,[-4, 5],28,A,A,S,A,P,A,P,A,S,H,S,H,H,A,S,A,P,A,P,S,H,S,S,P,S,P,A,S
Magician,[-6, 2],54,P,A,S,A,S,H,S,H,S,P,H,P,S,P,A,P,P,P,S,P,H,P,S,P,A,P,A,P,A,P,P,P,A,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,P,A,S
Magician,[14, -2],23,S,A,S,H,S,A,H,A,S,H,S,P,P,P,S,P,S,P,S,P,S,P,S
Magician,[-1, 9],18,S,A,S,A,S,A,H,A,P,A,P,A,P,H,S,S,H,S
Goblin,[7, -2],15,P,P,S,A,A,P,A,S,A,A,S,A,A,S,A
Goblin,[10, -1],11,A,A,A,A,A,H,A,A,A,S,A
Goblin,[5, 0],15,A,H,A,H,A,A,A,A,A,P,A,S,P,A,A
Goblin,[4, -1],11,A,P,A,P,A,A,S,A,S,A,S
Goblin,[7, -1],17,A,H,A,S,A,P,A,H,A,A,S,P,S,A,S,A,S
Troll,[3, -2],21,A,A,P,A,S,A,H,A,P,A,S,A,P,A,P,H,A,A,H,A,A
Troll,[0, 3],20,A,A,P,H,A,H,S,A,A,S,H,S,P,A,P,S,P,S,A,A
Troll,[15, -2],13,A,A,P,A,S,H,P,A,A,A,P,A,A
Troll,[10, -2],17,P,H,A,A,P,H,A,A,P,A,S,A,P,A,P,A,A
Troll,[0, 6],24,A,A,P,A,P,A,P,A,P,H,A,A,P,A,A,H,P,S,H,S,S,A,P,S
Orc,[10, -2],16,P,A,S,A,A,A,P,A,S,H,S,H,S,A,P,A
Orc,[15, -1],19,P,A,P,A,A,A,P,A,S,H,S,H,S,A,P,A,P,A,S
Orc,[20, -6],25,P,A,P,A,P,A,P,A,P,A,P,H,P,A,P,H,A,A,P,A,P,A,P,A,S
Orc,[15, -3],11,S,A,P,A,S,H,S,H,A,A,S
Orc,[8, -4],35,S,A,S,A,H,A,H,A,P,A,P,A,P,A,S,A,P,A,P,A,P,H,P,A,P,H,P,A,P,A,P,A,P,A,S
